Rank,Feature
1,Chi2n
2,VSA_EState2
3,Chi3n
4,HallKierAlpha
5,NumHDonors
6,VSA_EState10
7,SMR_VSA1
8,HeavyAtomCount
9,NumSaturatedRings
10,Chi2v
11,Chi4n
12,EState_VSA9
13,NumSaturatedCarbocycles
14,Chi1
15,SlogP_VSA11
16,SMR_VSA5
17,PEOE_VSA10
18,EState_VSA1
19,SlogP_VSA12
20,EState_VSA10
21,MinEStateIndex
22,NumBridgeheadAtoms
23,VSA_EState9
24,Chi0
25,NumHeteroatoms
26,Kappa1
27,NumValenceElectrons
28,MinAbsPartialCharge
29,SMR_VSA9
30,SMR_VSA6
31,Chi1v
32,MaxPartialCharge
33,PEOE_VSA14
34,MaxAbsPartialCharge
35,PEOE_VSA5
36,TPSA
37,Chi0v
38,NumAliphaticCarbocycles
39,PEOE_VSA1
40,MolLogP
41,Chi3v
42,NumRotatableBonds
43,NumAtomStereoCenters
44,Kappa2
45,NOCount
46,SlogP_VSA3
47,NHOHCount
48,EState_VSA8
49,MinPartialCharge
50,MolWt
51,Kappa3
52,Chi4v
53,HeavyAtomMolWt
54,NumAliphaticHeterocycles
55,PEOE_VSA8
56,SlogP_VSA4
57,NumAmideBonds
58,PEOE_VSA4
59,SlogP_VSA2
60,NumHAcceptors
